Hour,Week,Testosterone,LH,FSH
0,0.00,31.33,9.93,4.96
1,0.01,30.88,10.09,5.05
2,0.01,30.26,10.02,5.01
3,0.02,29.97,10.08,5.05
4,0.02,29.85,10.15,5.09
5,0.03,30.62,10.24,5.15
6,0.04,30.83,9.91,4.95
7,0.04,30.44,10.05,5.03
8,0.05,29.85,9.97,4.98
9,0.05,28.20,10.04,5.02
10,0.06,30.49,10.01,5.01
11,0.07,29.65,10.06,5.03
12,0.07,30.16,10.17,5.10
13,0.08,29.27,10.04,5.02
14,0.08,29.16,10.06,5.04
15,0.09,29.55,9.93,4.96
16,0.10,30.05,9.98,4.99
17,0.10,28.81,10.18,5.11
18,0.11,30.22,9.99,4.99
19,0.11,30.94,10.11,5.07
20,0.12,29.05,9.94,4.97
21,0.12,29.99,10.17,5.10
22,0.13,30.92,9.95,4.97
23,0.14,29.78,10.04,5.02
24,0.14,29.39,9.96,4.97
25,0.15,29.11,10.01,5.00
26,0.15,30.20,9.90,4.94
27,0.16,30.52,9.99,5.00
28,0.17,29.85,10.12,5.07
29,0.17,29.39,10.26,5.16
30,0.18,30.75,10.00,5.00
31,0.18,29.66,9.81,4.89
32,0.19,29.49,9.95,4.97
33,0.20,29.74,9.93,4.96
34,0.20,30.08,9.94,4.97
35,0.21,29.83,9.86,4.92
36,0.21,29.36,9.92,4.95
37,0.22,28.88,9.94,4.97
38,0.23,30.31,10.11,5.07
39,0.23,29.59,10.02,5.01
40,0.24,30.13,10.00,5.00
41,0.24,30.06,9.97,4.98
42,0.25,29.55,10.00,5.00
43,0.26,30.54,9.94,4.96
44,0.26,28.75,10.04,5.02
45,0.27,29.47,10.01,5.00
46,0.27,30.29,10.04,5.02
47,0.28,31.00,9.83,4.90
48,0.29,29.68,9.88,4.93
49,0.29,28.90,10.08,5.05
50,0.30,31.01,9.96,4.98
51,0.30,29.70,10.08,5.05
52,0.31,30.41,9.95,4.97
53,0.32,30.58,10.09,5.05
54,0.32,29.34,10.01,5.00
55,0.33,29.86,10.15,5.09
56,0.33,29.58,10.06,5.04
57,0.34,30.46,10.08,5.05
58,0.35,30.89,10.00,5.00
59,0.35,29.59,9.95,4.97
60,0.36,30.99,9.95,4.97
61,0.36,30.93,10.06,5.04
62,0.37,29.32,10.12,5.07
63,0.38,30.15,10.06,5.04
64,0.38,29.60,10.02,5.01
65,0.39,30.43,10.01,5.00
66,0.39,29.79,10.09,5.05
67,0.40,29.72,10.04,5.02
68,0.40,30.48,10.08,5.05
69,0.41,30.44,10.08,5.05
70,0.42,29.68,10.03,5.02
71,0.42,29.96,10.13,5.08
72,0.43,28.94,9.93,4.96
73,0.43,29.20,9.85,4.91
74,0.44,30.57,9.97,4.98
75,0.45,30.39,9.98,4.99
76,0.45,29.47,9.97,4.98
77,0.46,29.55,10.05,5.03
78,0.46,29.66,10.17,5.10
79,0.47,29.32,10.01,5.01
80,0.48,31.07,9.98,4.99
81,0.48,30.18,10.01,5.01
82,0.49,30.00,10.01,5.01
83,0.49,29.47,10.12,5.07
84,0.50,30.80,9.83,4.90
85,0.51,29.46,9.95,4.97
86,0.51,29.12,10.05,5.03
87,0.52,30.48,10.11,5.07
88,0.52,29.96,9.93,4.96
89,0.53,29.43,9.91,4.95
90,0.54,29.98,10.03,5.02
91,0.54,29.12,9.97,4.98
92,0.55,30.93,10.01,5.00
93,0.55,29.60,9.95,4.97
94,0.56,29.90,10.06,5.04
95,0.57,29.72,10.06,5.03
96,0.57,30.85,10.01,5.00
97,0.58,30.21,9.96,4.97
98,0.58,31.24,9.98,4.99
99,0.59,29.90,10.17,5.10
100,0.60,28.94,9.98,4.99
101,0.60,29.25,10.04,5.02
102,0.61,30.66,9.92,4.95
103,0.61,30.09,10.12,5.07
104,0.62,30.06,10.11,5.07
105,0.62,28.93,10.13,5.08
106,0.63,30.00,9.99,4.99
107,0.64,30.05,10.15,5.09
108,0.64,29.72,10.17,5.10
109,0.65,29.87,10.00,5.00
110,0.65,29.29,10.12,5.07
111,0.66,29.06,10.02,5.01
112,0.67,30.64,9.94,4.96
113,0.67,29.05,9.85,4.91
114,0.68,29.14,9.96,4.97
115,0.68,30.13,9.91,4.94
116,0.69,29.47,10.06,5.04
117,0.70,29.87,10.05,5.03
118,0.70,30.06,9.81,4.89
119,0.71,30.60,9.95,4.97
120,0.71,30.40,9.86,4.92
121,0.72,30.34,9.98,4.99
122,0.73,30.85,9.87,4.92
123,0.73,30.04,9.86,4.91
124,0.74,30.49,9.92,4.95
125,0.74,30.53,10.02,5.01
126,0.75,30.56,10.09,5.05
127,0.76,29.73,9.83,4.90
128,0.76,29.03,9.81,4.89
129,0.77,29.90,9.78,4.87
130,0.77,29.14,10.09,5.05
131,0.78,30.93,9.92,4.95
132,0.79,30.37,10.13,5.08
133,0.79,29.89,10.01,5.01
134,0.80,29.30,10.09,5.05
135,0.80,31.12,10.02,5.01
136,0.81,30.45,10.02,5.01
137,0.82,29.59,10.03,5.02
138,0.82,30.33,9.81,4.89
139,0.83,29.73,10.04,5.02
140,0.83,29.68,10.12,5.07
141,0.84,29.82,10.09,5.06
142,0.85,29.76,10.02,5.01
143,0.85,29.89,10.13,5.08
144,0.86,30.04,10.04,5.02
145,0.86,30.15,9.86,4.92
146,0.87,30.37,10.07,5.04
147,0.88,30.50,10.15,5.09
148,0.88,29.77,9.87,4.92
149,0.89,29.64,9.94,4.97
150,0.89,30.52,9.97,4.98
151,0.90,28.50,9.72,4.83
152,0.90,30.17,9.88,4.93
153,0.91,30.29,10.14,5.09
154,0.92,30.12,9.98,4.99
155,0.92,30.23,10.06,5.03
156,0.93,30.43,10.00,5.00
157,0.93,29.90,10.11,5.07
158,0.94,29.73,9.89,4.93
159,0.95,30.45,9.89,4.93
160,0.95,29.35,10.14,5.08
161,0.96,30.66,10.10,5.06
162,0.96,29.77,10.04,5.03
163,0.97,30.62,10.17,5.10
164,0.98,30.29,10.05,5.03
165,0.98,30.22,9.92,4.95
166,0.99,29.63,9.89,4.93
167,0.99,30.34,9.97,4.98
168,1.00,29.54,9.92,4.95
169,1.01,30.57,9.99,4.99
170,1.01,30.10,10.00,5.00
171,1.02,30.54,10.08,5.05
172,1.02,30.98,10.16,5.10
173,1.03,31.62,9.86,4.92
174,1.04,29.43,10.02,5.01
175,1.04,30.33,10.02,5.01
176,1.05,29.83,9.79,4.88
177,1.05,30.25,9.89,4.93
178,1.06,30.09,9.96,4.97
179,1.07,30.37,9.97,4.98
180,1.07,31.14,10.05,5.03
181,1.08,30.26,9.93,4.96
182,1.08,30.39,9.88,4.93
183,1.09,29.51,10.11,5.06
184,1.10,29.84,9.95,4.97
185,1.10,31.18,9.97,4.98
186,1.11,29.94,10.18,5.11
187,1.11,30.72,10.14,5.09
188,1.12,29.62,10.14,5.08
189,1.12,31.10,9.89,4.93
190,1.13,29.68,10.18,5.11
191,1.14,30.25,10.04,5.03
192,1.14,29.71,9.90,4.94
193,1.15,30.05,10.06,5.03
194,1.15,29.32,10.01,5.01
195,1.16,29.96,10.00,5.00
196,1.17,30.81,9.94,4.97
197,1.17,31.74,10.05,5.03
198,1.18,30.03,10.04,5.02
199,1.18,28.75,9.98,4.99
200,1.19,29.69,10.03,5.02
201,1.20,29.55,10.05,5.03
202,1.20,29.62,10.03,5.02
203,1.21,29.10,9.97,4.98
204,1.21,29.47,9.99,4.99
205,1.22,29.63,10.14,5.09
206,1.23,30.72,9.98,4.99
207,1.23,30.13,10.05,5.03
208,1.24,29.97,10.06,5.04
209,1.24,29.80,10.07,5.04
210,1.25,30.00,10.18,5.11
211,1.26,29.59,10.06,5.04
212,1.26,30.24,10.02,5.01
213,1.27,30.05,10.10,5.06
214,1.27,30.27,10.00,5.00
215,1.28,28.84,10.00,5.00
216,1.29,29.19,10.11,5.07
217,1.29,30.50,10.00,5.00
218,1.30,29.75,10.00,5.00
219,1.30,30.54,9.99,4.99
220,1.31,29.66,10.08,5.05
221,1.32,30.59,9.97,4.98
222,1.32,30.04,9.93,4.96
223,1.33,31.00,9.93,4.96
224,1.33,30.41,9.96,4.98
225,1.34,30.52,10.06,5.04
226,1.35,30.01,10.16,5.10
227,1.35,29.69,9.91,4.95
228,1.36,29.68,9.87,4.92
229,1.36,30.43,10.14,5.09
230,1.37,30.83,9.97,4.98
231,1.38,30.43,9.92,4.95
232,1.38,30.11,9.93,4.96
233,1.39,30.05,9.98,4.99
234,1.39,30.60,9.92,4.95
235,1.40,30.28,10.07,5.04
236,1.40,30.53,9.98,4.99
237,1.41,30.52,9.84,4.91
238,1.42,30.22,9.90,4.94
239,1.42,30.87,10.12,5.07
240,1.43,29.53,9.86,4.92
241,1.43,28.99,9.99,5.00
242,1.44,29.79,9.98,4.99
243,1.45,29.84,9.87,4.92
244,1.45,29.81,10.01,5.01
245,1.46,30.35,9.85,4.91
246,1.46,31.11,9.96,4.98
247,1.47,30.09,10.16,5.09
248,1.48,29.89,10.09,5.05
249,1.48,30.06,9.93,4.96
250,1.49,30.06,9.72,4.83
251,1.49,30.78,9.91,4.95
252,1.50,28.87,10.20,5.12
253,1.51,29.65,9.99,5.00
254,1.51,30.30,9.97,4.98
255,1.52,30.74,9.98,4.99
256,1.52,29.53,10.01,5.00
257,1.53,29.43,10.06,5.04
258,1.54,30.20,10.04,5.02
259,1.54,29.80,9.83,4.90
260,1.55,30.04,9.95,4.97
261,1.55,29.64,9.99,4.99
262,1.56,30.41,9.95,4.97
263,1.57,30.38,10.07,5.04
264,1.57,30.04,9.99,4.99
265,1.58,29.71,9.93,4.96
